Timestamp,Response,1. Rate of increase,2. Duplexes,2. 3-6 units,2. 7 to 15 units,3. Attainable,3. Affordable,4. Att-Aff Explanation,5. Lyme Common,5. Lyme Center,5. Commercial,5. Rural,5. East Lyme,5. Holts Ledge,5. Mtn & Forest,5. Wherever SF units,5. Nowhere,5. Other,6. Other explanation,7. Housing in Commercial,8. Multi-unit districts,9. Infill,10. Lyme School,11. Lyme School Explanation,12. Housing initiatives,13. Years in Lyme,14. Plan to move,15. Explanation of moving ,16. Age range,17. Smaller house,18. Smaller house explanation,19. Currently own,20. Other thoughts
11/6/25 14:45,1,No increase (2 new units/year),Yes,No,No,No,Yes,,,,,,,,,,,,,Minimal or no housing,"Rural District, East Lyme District",No,Yes,,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing",More than 20 years,Maybe,,Over 65 years,Yes,,Own your own home,
11/6/25 14:56,2,2-fold increase (4 new units/year),Yes,Yes,,Yes,Yes,"More dwelling units, but not more than 6 units per building",8-MOST Appropriate,5,8-MOST Appropriate,1-LEAST Appropriate,7,7,7,5,8-MOST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,No,,46 to 65 years,Maybe in the future,,Own your own home,
11/6/25 14:56,3,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Extend the business past Post Pond to bring more business to Lyme and increase the tax rate.  Allow more subdivisions and don't make the zoning so restrictive. Make the head of the rec committee a volunteer post. Let out of town people into Post Pond for a fee .  Ask the school board to freeze hiring .,8-MOST Appropriate,,8-MOST Appropriate,,,,,,,,Expand commercial disdrict north to Post Pond and encourage new businesses and housing,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, North of Post Pond",Yes,No,I think the current building could support many more students than we have now.,"Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,Yes,,Over 65 years,Maybe in the future,,Own your own home,
11/6/25 14:57,4,No increase (2 new units/year),No,No,No,No,No,,1-LEAST Appropriate,1-LEAST Appropriate,5,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,,Single family home,None of the above,Yes,Yes,,"Helping people stay in their current housing, Preservation of existing affordable housing, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,46 to 65 years,No,,Own your own home,
11/6/25 14:58,5,No increase (2 new units/year),Yes,Yes,No,Yes,Yes,We need to diversify land and housing stock ownership in lyme. A couple very wealthy people own the vast majority of town. We could incentivize them to break up their hoards for the sake of affordable housing. ,8-MOST Appropriate,4,8-MOST Appropriate,6,4,2,3,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building",Lyme Common District,Yes,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Attracting younger residents and families with children, Helping people stay in the community as they age",5 to 10 years,No,,46 to 65 years,No,,Own your own home,"Any significant increase to housing stock is going to increase the cost of maintaining public infrastructure. The same people who balk at fully funding the school will balk at necessary increases in the cost of maintaining roads and/or improving roads ahead of increased traffic. A large percentage of households may not have kids in the school right now, but the almost all had kids at one point. If you increase housing stock I am certain you will attract more people who want their kids in the school. Which I am all for. But you will need to be ready to deal with that costing more money, too. "
11/6/25 15:02,6,No increase (2 new units/year),No,No,No,No,No,"Because of the costs and impacts of commuting, housing should be located in reasonable proximity to work places. Note that this may mean home offices.",5,4,6,3,3,3,2,4,5,,,"Single family home, Duplex (two family)",Commercial,No,Yes,The school should accommodate acceptable growth.,"Helping people stay in their current housing, Preservation of existing affordable housing, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,"In general, growth in our area should focus on centers of employment, and should preserve the exceptional quality of life we all enjoy."
11/6/25 15:06,7,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,Allow more businesses so that property tax rates will come down,8-MOST Appropriate,7,6,2,4,1-LEAST Appropriate,5,3,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Center District, Rural District, East Lyme District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,Yes,,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Encouraging mixed-use development with retail on the ground level and residential space on upper floors",10 to 20 years,Maybe,Property taxes are becoming a serious burden,46 to 65 years,No,,Own your own home,"I would like to see the downtown area get more vibrant, with more businesses to improve the tax base"
11/6/25 15:09,8,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,Clustering,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,,8-MOST Appropriate,8-MOST Appropriate,,,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, East Lyme District, Holts Ledge District",Yes,No,There are many things we could do to slightly increase school capacity like trailers which schools do all the time. ,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,No,,Over 65 years,No,,Own your own home,
11/6/25 15:19,9,No increase (2 new units/year),Yes,No,No,No,No,,1-LEAST Appropriate,1-LEAST Appropriate,5,5,5,1-LEAST Appropriate,1-LEAST Appropriate,5,5,,,Minimal or no housing,None of the above,No,Yes,We all know people move here to send their kids to the Lyme School and then sell once the kids graduate. We don't need a revolving door real estate market in this town.,"Helping people stay in their current housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age, Working to preserve our historical homes on the Common and in Lyme Center",More than 20 years,No,,Over 65 years,No,,Own your own home,Don't be in such a hurry to destroy the rural character and historic aspects of this beautiful town.
11/6/25 15:40,10,3-fold increase (6 new units/year),Yes,Yes,No,Yes,Yes,"Cluster development; town house development, development east of the Skyway.",5,4,8-MOST Appropriate,6,8-MOST Appropriate,5,8-MOST Appropriate,5,1-LEAST Appropriate,1-LEAST Appropriate,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","East Lyme District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,No,It's very unclear that new housing units will yield the same number of children especially as many soul likely bd retirement properties.,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,Unless our health fails seriously we want to age in place here.,Over 65 years,Maybe in the future,A one floor residence would be nice as we age further.,Own your own home,Lyme feels like a gated community. Lack of housing and businesses dramatically interfered with the top line funds available to the town... which is about 13 million dollars. With the school spending approaching 10 million our budget model is not sustainable.
