Timestamp,Response,Attend,View,Takeaway,Like,Change,Muni,School,Taxes,"How-address",Manual,Other
2019/03/30 12:10:12 PM AST,1,No,Yes,"we have a great school! we are not imagining that our taxes are high. Also, that they feel further residential development would not raise our taxes, which contradicts most studies that show that residential development costs more in town services than it brings in in taxes. ","Rural feel, historic character, village historic districts, accessibility of outdoors, dark sky and lack of street lights most places, gravel roads, COMMUNITY SPIRIT, terrific school, and the authenticity of having residents born and raised in Lyme - we're not just a fancy bedroom community. ",Better internet service; bury ugly power lines in Lyme Village; remove garish and oversized new highway signage from Lyme Village; more opportunity for seniors to age in place (or in smaller Lyme homes) affordably; public transportation to Hanover,5,5,Too high,"if it is indeed true that residential development will not increase our taxes, concentrate this development around areas already thickly settled. Permit limited multi-family homes in scale with surrounding area. ",,
2019/03/31 12:46:38 PM AST,2,Yes,Yes,"Lyme is doing well. Good Schools, good community. It's expensive to live here. You get what you pay for.",Good schools. Friendly community. Beautiful surroundings. Commercial district that's small but sufficient. Easy commute to work centers.,More housing available to low and middle income families. Diversity of economy is a good thing. Rich ghettos are culturally stale.,4,5,About right,The fact that the tax rate has increased 37% is not unique to Lyme. A 2% premium to live in this town as opposed to the surrounding towns is not excessive.,,I think the town should plea to the State that the Current Use law is unfair to Towns like Lyme where most of the property is under tax easement. 
2019/03/31 6:40:17 PM AST,3,No,No,,"In general, I like the rural character of the town and its conservation ethic.","I wish Lyme could retain its rural character, while encouraging modern communication technologies such as high speed internet and improved cellular service.",3,3,About right,"I think the Town's zoning regulations need to be loosened somewhat, to allow for greater commercial development in certain parts of Town, which will ultimately improve the tax burden on residential homeowners.",,"I see no reason why the Town can't allow for modern communication services like high speed internet and cellular service, while still maintaining its rural character. Zoning regulations should not prohibit or severely restrict the creation of things like cell towers, if the addition of one or a few towers somewhere in Town results in coverage comparable to towns like Hanover and Lebanon."
2019/04/01 8:59:31 AM AST,4,No,Yes,Good analysis. No biases. Confirms what we mostly know already.,"Sense of community, rural environment.","Better Internet - Go, LymeFiber!",5,5,Too high,"Lobby Concord to stop downshifting funding, even if it means having an income tax.",,See if there's sufficient demand for public transportation to encourage Advance Transit to serve Lyme.
2019/04/01 10:02:41 AM AST,5,No,Yes,I was able to access it but unable to watch the full video due to time/internet connectivity.,"Friendliness, sense that people are willing to work together and dig in themselves to make things happen vs. sitting back and waiting for it to get done.",For people to continue to feel engaged in the process and that spirit of being willing to help to be propagated. ,5,5,About right,"Given the way in which our State designates that funds must be raised and the continued downshifts of expenses to the local level, I think the only way to address would be lobby at the State level to free the town to look at other mechanisms other than property tax to support local expenditures.",,
2019/04/01 10:05:41 AM AST,6,Yes,Yes,That the consultant really likes Lyme,Great school system. Lively Common area.,"Zoning needs to be changed to allow higher density living outside the common area. Need new members of the planning board to bring new ideas. Need a cell tower of some type to address bad cell coverage.  Hoping Fiber will be here by next year. Need to address current use issues in town with the state. Increase commercial district to include the entire Rt 10 corridor (Bring this to the town via a warrant article). Overall, give voice to the newer residents who tend to be younger and unable to volunteer due to family and work responsibilities.",3,5,Too high,Change zoning laws to allow higher density building outside of the common area. Rt 10 should be a commercial zoning area both sides of the common. Town should try to attract developers to build small scale developments (condo's and apartments) to meet Upper Valley needs. Reverse the no development ethos that Lyme is know for.,,Cell service.  
2019/04/01 10:18:50 AM AST,7,Yes,Yes,"I appreciate all the time and effort the LCDC has put into this concern, working with the planning board and the budget committee. Many people in the town are concerned about rising taxes, and how the budget might be addressed. Reactions at the Forum seemed to be mixed on whether business growth and more development is the answer. ","Positive elements of living in Lyme include beautiful open spaces and a focus on conservation, a few thriving businesses, a good elementary school and a population of dedicated and compassionate townspeople. ",I'd like to see a few more healthy businesses in the center of Lyme. This would make living in the town more attractive and keep our dollars from being spent elsewhere. I'd like to see more cell phone and high speed internet access. We also need more mixed affordable/safe housing for older residents/young people.,4,4,Too high,I think the business base should increase so as to relieve some of the tax burden. There could also be a discussion regarding how much of the land is in conservation easement.,,"We are fortunate to have a good school system. However, the budget for this continues to rise substantially. How can we address this without compromising the quality of education? Another issue is transportation. Perhaps the town could try sponsoring one bus in and out of Hanover in the morning/evening for commuters and students."
2019/04/01 10:34:44 AM AST,8,Yes,Yes,"Not much honestly, kind of just rehashed what we know. ","The community spirit, the access to the outdoors, the great schools","More diversity and inclusion of different income levels, also access to smaller footprint development",5,5,Too high,"Ease restrictions on zoning, I don't think commercial is the answer but we need to allow more access to families and younger generation of people. The avg. new home built or for sale in town seems to be around $400K, it's pretty obvious this is a non-starter for most people. ",,"Town Govt is hard to participate in if you are a younger couple with children. I feel our boards are represented by a small specific population in the town. Many voices are not well represented, we need to find a way to engage more people in town policies, events etc. "
2019/04/01 10:45:15 AM AST,9,No,Yes,"Lot of detailed information, some new and some I anticipated. We do need to tighten up financially and with what we want our town to look like down the road.",We have the best school around.,"We have one town office employee who should consider a career elsewhere. In thinking about everything, I would like Lyme to retain it's current qualities. I know that is selfish, but since I moved here 32 years ago, enough has evolved such that I don't want any more growth, no higher taxes, etc. Where we are is perfection in all areas.",4,5,About right,"I can handle living here now, but if taxes increase high, I will move.",,
2019/04/01 11:20:22 AM AST,10,Yes,Yes,"Lyme can't ""build"" it's way out of the tax rate issue, but slow organic growth appears to be best as in the past.","Rural character, not developed like Hanover or Lebanon. Safe and friendly, outstanding volunteerism.","Nothing, although the school needs to get a grip on costs.",4,3,About right,"As mentioned above, school board needs to control educational costs better.",,
2019/04/01 11:31:44 AM AST,11,No,No,,"For the most part, a generous, convivial town.",,3,4,About right,,,"End the capricious -- or biased -- closing of Dorchester Road to traffic in spring. It is a public road. We shouldn't be denying the public access to it by declaring it's meant only for ""local traffic."" That's denying equal rights to all. If it's not an emergency or there isn't an ACTIVE work crew repairing the road, it should be open and free to traffic."
2019/04/01 11:56:16 AM AST,12,No,Yes,I couldn't watch it all - much of it does not lend itself well to video format. I would suggest a transcript of the more salient points is more helpful. ,I like that it is mostly open space and forest and that the zoning ordinance recognizes natural restrictions on construction/development. ,I hope the town will embrace an in-fill ethic such that existing structures and already-converted land can provide their highest value at a given time. ,4,,About right,"Perhaps town leadership and citizenry could advocate for sensible broad-based taxation such as an additional 1% on the meals and rooms tax dedicated for in-town use. Of course, then we'd all have to help publicize those businesses that collect that tax. ",,I hope we can disabuse ourselves of the notion that building more residences as a means of increasing tax revenue is anything but folly.
2019/04/01 12:12:58 PM AST,13,No,Yes,,like it just fine as is,make sure no cluster housing come in to spoil our town,2,1,Too high,"cut the waste at the school, have you ever  seen the waste there, have you really looked?",,"have one amount of money  for all high school students, make Thetford our HS; parents should kick in any amount that is over  what our HS gets








hS"
2019/04/01 1:03:15 PM AST,14,No,No,I will take a look at it...,"Sense of community,  preserved spaces, school has excellent reputation which supports property values.","Support for planned unit developments which would enable denser population building projects without equivalent expansion of land use.  There is a market for affordable condo-style housing that would increase the tax base and be attractive to potential home buyers in the Hanover area.  Lyme has the reputation of being hostile to any new development, both  commercial and residential.  The zoning board is viewed as seeking means to thwart development rather than encourage it. Whether or not that is true, I don't know -- but that is the reputation. 

Better road maintenance.",3,4,Too high,"See answer above.  The only way to get taxes down and preserve services is to increase the tax base.  Yes, this puts more pressure on the services (such as the school) but, overall, it is a benefit to the town to increase appropriate commercial and residential development, and to shed the town's closed-door reputation. As White River Junction has done, Lyme could make itself more of a destination town for crafts stores, clothing, restaurants, recreation (e.g., yoga, athletic gym space), festivals, even office space and professional services.  Lyme seems to cherish its insularity, to the detriment of its tax base.",,"The roads!  
In a perfect world, an expanded library and access to the arts."
2019/04/01 1:08:30 PM AST,15,No,No,Didn't attend/view,It's size,more affordable housing,4,4,Too high,"In the last few years the Town has spent a great deal of money, for example. upgrading our secondary roads -- where once it was acceptable to have to walk in to your house for a couple of ""mud season"" weeks, now every last rut and mud hole must be fixed in a day so a sports car can get home.",,"As long as commercial development is severely restricted, the taxes will be high as there won't be development (without school kids) to help keep the tax rate down.  There are sections of the RT10 corridor that could see commercial development without adverse impact on the rest of the Town -- just get over the NIBY for the good of the whole Town."
